User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
24fbada,01/24/2019,12:49:43,8,1,3,3,0.5557289123535156
24fbada,01/24/2019,12:49:43,8,2,3,-999,-999
24fbada,01/24/2019,12:49:43,9,2,2,2,0.7881388664245605
24fbada,01/24/2019,12:49:43,10,0,0,0,0.5858879089355469
24fbada,01/24/2019,12:49:43,11,0,3,3,0.7200829982757568
24fbada,01/24/2019,12:49:43,12,0,1,1,0.802886962890625
24fbada,01/24/2019,12:49:43,13,1,3,3,0.8190469741821289
24fbada,01/24/2019,12:49:43,14,1,2,2,1.3712639808654785
24fbada,01/24/2019,12:49:43,15,1,1,1,0.6700539588928223
24fbada,01/24/2019,12:49:43,16,1,0,0,1.0703070163726807
24fbada,01/24/2019,12:49:43,17,2,1,1,0.6720349788665771
24fbada,01/24/2019,12:49:43,18,2,0,0,0.7039279937744141
24fbada,01/24/2019,12:49:43,19,0,0,0,0.6697530746459961
24fbada,01/24/2019,12:49:43,20,1,1,1,0.41942596435546875
24fbada,01/24/2019,12:49:43,21,0,2,2,0.670982837677002
24fbada,01/24/2019,12:49:43,22,0,1,1,0.5377590656280518
24fbada,01/24/2019,12:49:43,23,1,2,2,0.6525421142578125
24fbada,01/24/2019,12:49:43,24,2,2,2,0.6535930633544922
User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
24FRAGI,01/14/2019,22:36:18,0,1,3,-999,-999
24FRAGI,01/14/2019,22:36:18,1,0,3,3,1.103407859802246
24FRAGI,01/14/2019,22:36:18,2,0,1,1,0.8697919845581055
24FRAGI,01/14/2019,22:36:18,3,1,0,0,0.9687418937683105
24FRAGI,01/14/2019,22:36:18,4,1,0,0,1.7864060401916504
24FRAGI,01/14/2019,22:36:18,5,2,2,2,1.2682480812072754
24FRAGI,01/14/2019,22:36:18,5,2,0,-999,-999
24FRAGI,01/14/2019,22:36:18,6,2,1,1,1.485828161239624
24FRAGI,01/14/2019,22:36:18,7,0,2,2,0.8308489322662354
24FRAGI,01/14/2019,22:36:18,8,2,3,3,0.6846671104431152
24FRAGI,01/14/2019,22:36:18,9,1,3,3,1.1154060363769531
24FRAGI,01/14/2019,22:36:18,9,2,0,-999,-999
24FRAGI,01/14/2019,22:36:18,10,1,1,1,0.9481401443481445
24FRAGI,01/14/2019,22:36:18,10,1,2,-999,-999
24FRAGI,01/14/2019,22:36:18,11,2,3,3,1.235718011856079
24FRAGI,01/14/2019,22:36:18,12,0,2,2,1.3848609924316406
24FRAGI,01/14/2019,22:36:18,13,2,1,1,0.6185829639434814
24FRAGI,01/14/2019,22:36:18,14,2,2,2,1.6319642066955566
24FRAGI,01/14/2019,22:36:18,15,0,0,0,2.3806710243225098
24FRAGI,01/14/2019,22:36:18,16,0,0,0,0.9356088638305664
24FRAGI,01/14/2019,22:36:18,17,0,1,1,0.9303939342498779
24FRAGI,01/14/2019,22:36:18,18,1,1,1,0.9183008670806885
24FRAGI,01/14/2019,22:36:18,19,0,3,3,1.5152931213378906
24FRAGI,01/14/2019,22:36:18,20,1,2,2,1.2660679817199707
24FRAGI,01/14/2019,22:36:18,21,1,3,3,2.0201148986816406
24FRAGI,01/14/2019,22:36:18,22,0,3,3,0.6522269248962402
24FRAGI,01/14/2019,22:36:18,23,0,1,1,0.9692142009735107
